GOID	Ontology	Definition	Level
GO:0008732	MF	L-allo-threonine aldolase activity	7
GO:0008733	MF	L-arabinose isomerase activity	6
GO:0008734	MF	L-aspartate oxidase activity	7
GO:0008735	MF	carnitine dehydratase activity	6
GO:0008736	MF	L-fucose isomerase activity	6
GO:0008737	MF	L-fuculokinase activity	6
GO:0008738	MF	L-fuculose-phosphate aldolase activity	6
GO:0008740	MF	L-rhamnose isomerase activity	6
GO:0008741	MF	ribulokinase activity	6
GO:0008742	MF	L-ribulose-phosphate 4-epimerase activity	6
GO:0008743	MF	L-threonine 3-dehydrogenase activity	6
GO:0008744	MF	L-xylulokinase activity	7
GO:0008745	MF	N-acetylmuramoyl-L-alanine amidase activity	6
GO:0008746	MF	NAD(P)+ transhydrogenase activity	6
GO:0008747	MF	N-acetylneuraminate lyase activity	6
GO:0008748	MF	N-ethylmaleimide reductase activity	4
GO:0008750	MF	NAD(P)+ transhydrogenase (AB-specific) activity	7
GO:0008752	MF	FMN reductase activity	6
GO:0008753	MF	NADPH dehydrogenase (quinone) activity	6
GO:0008754	MF	O antigen ligase activity	4
GO:0008755	MF	O antigen polymerase activity	6
GO:0008756	MF	o-succinylbenzoate-CoA ligase activity	6
GO:0008757	MF	S-adenosylmethionine-dependent methyltransferase activity	6
GO:0008758	MF	UDP-2,3-diacylglucosamine hydrolase activity	7
GO:0008759	MF	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase activity	5
GO:0008760	MF	UDP-N-acetylglucosamine 1-carboxyvinyltransferase activity	5
GO:0008761	MF	UDP-N-acetylglucosamine 2-epimerase activity	6
GO:0008762	MF	UDP-N-acetylmuramate dehydrogenase activity	6
GO:0008763	MF	UDP-N-acetylmuramate-L-alanine ligase activity	6
GO:0008764	MF	UDP-N-acetylmuramoylalanine-D-glutamate ligase activity	6
GO:0008765	MF	UDP-N-acetylmuramoylalanyl-D-glutamate-2,6-diaminopimelate ligase activity	6
GO:0008766	MF	UDP-N-acetylmuramoylalanyl-D-glutamyl-2,6-diaminopimelate-D-alanyl-D-alanine ligase activity	6
GO:0008767	MF	UDP-galactopyranose mutase activity	5
GO:0008768	MF	UDP-sugar diphosphatase activity	7
GO:0008770	MF	[acyl-carrier-protein] phosphodiesterase activity	7
GO:0008771	MF	[citrate (pro-3S)-lyase] ligase activity	6
GO:0008772	MF	[isocitrate dehydrogenase (NADP+)] kinase activity	7
GO:0008773	MF	[protein-PII] uridylyltransferase activity	7
GO:0008774	MF	acetaldehyde dehydrogenase (acetylating) activity	6
GO:0008775	MF	acetate CoA-transferase activity	6
GO:0008776	MF	acetate kinase activity	6
GO:0008777	MF	acetylornithine deacetylase activity	5
GO:0008779	MF	acyl-[acyl-carrier-protein]-phospholipid O-acyltransferase activity	7
GO:0008780	MF	acyl-[acyl-carrier-protein]-UDP-N-acetylglucosamine O-acyltransferase activity	7
GO:0008781	MF	N-acylneuraminate cytidylyltransferase activity	7
GO:0008782	MF	adenosylhomocysteine nucleosidase activity	6
GO:0008783	MF	agmatinase activity	6
GO:0008784	MF	alanine racemase activity	7
GO:0008785	MF	alkyl hydroperoxide reductase activity	6
GO:0008786	MF	allose 6-phosphate isomerase activity	6
GO:0008787	MF	allose kinase activity	6
GO:0008788	MF	alpha,alpha-phosphotrehalase activity	7
GO:0008789	MF	altronate dehydratase activity	6
GO:0008790	MF	arabinose isomerase activity	6
GO:0008791	MF	arginine N-succinyltransferase activity	8
GO:0008792	MF	arginine decarboxylase activity	6
GO:0008793	MF	aromatic-amino-acid:2-oxoglutarate aminotransferase activity	6
GO:0008794	MF	arsenate reductase (glutaredoxin) activity	5
GO:0008795	MF	NAD+ synthase activity	6
GO:0008796	MF	bis(5'-nucleosyl)-tetraphosphatase activity	8
GO:0008797	MF	aspartate ammonia-lyase activity	6
GO:0008798	MF	beta-aspartyl-peptidase activity	8
GO:0008800	MF	beta-lactamase activity	6
GO:0008801	MF	beta-phosphoglucomutase activity	6
GO:0008802	MF	betaine-aldehyde dehydrogenase activity	7
GO:0008803	MF	bis(5'-nucleosyl)-tetraphosphatase (symmetrical) activity	9
GO:0008804	MF	carbamate kinase activity	6
GO:0008805	MF	carbon-monoxide oxygenase activity	6
GO:0008806	MF	carboxymethylenebutenolidase activity	6
GO:0008807	MF	carboxyvinyl-carboxyphosphonate phosphorylmutase activity	6
GO:0008808	MF	cardiolipin synthase activity	7
GO:0008809	MF	carnitine racemase activity	6
GO:0008810	MF	cellulase activity	6
GO:0008811	MF	chloramphenicol O-acetyltransferase activity	8
GO:0008812	MF	choline dehydrogenase activity	5
GO:0008813	MF	chorismate lyase activity	6
GO:0008814	MF	citrate CoA-transferase activity	6
GO:0008815	MF	citrate (pro-3S)-lyase activity	6
GO:0008816	MF	citryl-CoA lyase activity	6
GO:0008817	MF	cob(I)yrinic acid a,c-diamide adenosyltransferase activity	5
GO:0008818	MF	cobalamin 5'-phosphate synthase activity	6
GO:0008819	MF	cobinamide kinase activity	6
GO:0008820	MF	cobinamide phosphate guanylyltransferase activity	7
GO:0008821	MF	crossover junction endodeoxyribonuclease activity	9
GO:0008823	MF	cupric reductase activity	6
GO:0008824	MF	cyanate hydratase activity	5
GO:0008825	MF	cyclopropane-fatty-acyl-phospholipid synthase activity	7
GO:0008826	MF	cysteine sulfinate desulfinase activity	5
GO:0008827	MF	cytochrome o ubiquinol oxidase activity	5
GO:0008828	MF	dATP pyrophosphohydrolase activity	8
GO:0008829	MF	dCTP deaminase activity	4
GO:0008830	MF	dTDP-4-dehydrorhamnose 3,5-epimerase activity	6
GO:0008831	MF	dTDP-4-dehydrorhamnose reductase activity	6
GO:0008832	MF	dGTPase activity	7
GO:0008833	MF	deoxyribonuclease IV (phage-T4-induced) activity	9
GO:0008834	MF	di-trans,poly-cis-decaprenylcistransferase activity	6
GO:0008835	MF	diaminohydroxyphosphoribosylaminopyrimidine deaminase activity	4
GO:0008836	MF	diaminopimelate decarboxylase activity	6
GO:0008837	MF	diaminopimelate epimerase activity	7
GO:0008838	MF	diaminopropionate ammonia-lyase activity	6
GO:0008839	MF	dihydrodipicolinate reductase activity	6
GO:0008840	MF	dihydrodipicolinate synthase activity	6
GO:0008841	MF	dihydrofolate synthase activity	6
GO:0008842	MF	diphosphate-purine nucleoside kinase activity	6
GO:0008843	MF	endochitinase activity	7
GO:0008847	MF	Enterobacter ribonuclease activity	9
GO:0008849	MF	enterochelin esterase activity	5
GO:0008851	MF	ethanolamine ammonia-lyase activity	6
GO:0008852	MF	exodeoxyribonuclease I activity	9
GO:0008853	MF	exodeoxyribonuclease III activity	9
GO:0008854	MF	exodeoxyribonuclease V activity	9
GO:0008855	MF	exodeoxyribonuclease VII activity	9
GO:0008856	MF	exodeoxyribonuclease X activity	9
GO:0008859	MF	exoribonuclease II activity	8
GO:0008860	MF	ferredoxin-NAD+ reductase activity	6
GO:0008861	MF	formate C-acetyltransferase activity	8
GO:0008863	MF	formate dehydrogenase (NAD+) activity	6
GO:0008864	MF	formyltetrahydrofolate deformylase activity	6
GO:0008865	MF	fructokinase activity	7
GO:0008866	MF	fructuronate reductase activity	6
GO:0008867	MF	galactarate dehydratase activity	6
GO:0008868	MF	galactitol-1-phosphate 5-dehydrogenase activity	6
GO:0008869	MF	galactonate dehydratase activity	6
GO:0008870	MF	galactoside O-acetyltransferase activity	8
GO:0008871	MF	aminoglycoside 2''-nucleotidyltransferase activity	7
GO:0008872	MF	glucarate dehydratase activity	6
GO:0008873	MF	gluconate 2-dehydrogenase activity	7
GO:0008874	MF	gluconate 5-dehydrogenase activity	7
GO:0008875	MF	gluconate dehydrogenase activity	6
GO:0008876	MF	quinoprotein glucose dehydrogenase activity	6
GO:0008877	MF	glucose-1-phosphatase activity	9
GO:0008878	MF	glucose-1-phosphate adenylyltransferase activity	7
GO:0008879	MF	glucose-1-phosphate thymidylyltransferase activity	6
GO:0008880	MF	glucuronate isomerase activity	6
GO:0008881	MF	glutamate racemase activity	7
GO:0008882	MF	[glutamate-ammonia-ligase] adenylyltransferase activity	7
GO:0008883	MF	glutamyl-tRNA reductase activity	6
GO:0008884	MF	glutathionylspermidine amidase activity	6
GO:0008885	MF	glutathionylspermidine synthase activity	6
GO:0008886	MF	glyceraldehyde-3-phosphate dehydrogenase (NADP+) (non-phosphorylating) activity	6
GO:0008887	MF	glycerate kinase activity	6
GO:0008888	MF	glycerol dehydrogenase activity	6
GO:0008889	MF	glycerophosphodiester phosphodiesterase activity	7
GO:0008890	MF	glycine C-acetyltransferase activity	8
GO:0008891	MF	glycolate oxidase activity	7
GO:0008892	MF	guanine deaminase activity	4
GO:0008893	MF	guanosine-3',5'-bis(diphosphate) 3'-diphosphatase activity	7
GO:0008894	MF	guanosine-5'-triphosphate,3'-diphosphate diphosphatase activity	7
GO:0008897	MF	holo-[acyl-carrier-protein] synthase activity	6
GO:0008898	MF	homocysteine S-methyltransferase activity	7
GO:0008899	MF	homoserine O-succinyltransferase activity	8
GO:0008900	MF	hydrogen:potassium-exchanging ATPase activity	9
GO:0008901	MF	ferredoxin hydrogenase activity	6
GO:0008902	MF	hydroxymethylpyrimidine kinase activity	6
GO:0008903	MF	hydroxypyruvate isomerase activity	6
GO:0008904	MF	hygromycin-B 7''-O-phosphotransferase activity	7
GO:0008905	MF	mannose-phosphate guanylyltransferase activity	7
GO:0008906	MF	inosine kinase activity	6
GO:0008907	MF	integrase activity	3
GO:0008908	MF	isochorismatase activity	7
GO:0008909	MF	isochorismate synthase activity	6
GO:0008910	MF	kanamycin kinase activity	7
GO:0008911	MF	lactaldehyde dehydrogenase activity	7
GO:0008912	MF	lactaldehyde reductase activity	6
GO:0008913	MF	lauroyltransferase activity	6
GO:0008914	MF	leucyltransferase activity	6
GO:0008915	MF	lipid-A-disaccharide synthase activity	6
GO:0008917	MF	lipopolysaccharide N-acetylglucosaminyltransferase activity	7
GO:0008918	MF	lipopolysaccharide 3-alpha-galactosyltransferase activity	7
GO:0008919	MF	lipopolysaccharide glucosyltransferase I activity	7
GO:0008920	MF	lipopolysaccharide heptosyltransferase activity	5
GO:0008921	MF	lipopolysaccharide-1,6-galactosyltransferase activity	7
GO:0008922	MF	long-chain fatty acid [acyl-carrier-protein] ligase activity	6
GO:0008923	MF	lysine decarboxylase activity	6
GO:0008924	MF	malate dehydrogenase (quinone) activity	6
GO:0008925	MF	maltose O-acetyltransferase activity	8
GO:0008926	MF	mannitol-1-phosphate 5-dehydrogenase activity	6
GO:0008927	MF	mannonate dehydratase activity	6
GO:0008928	MF	mannose-1-phosphate guanylyltransferase (GDP) activity	8
GO:0008929	MF	methylglyoxal synthase activity	6
GO:0008930	MF	methylthioadenosine nucleosidase activity	7
GO:0008932	MF	lytic endotransglycosylase activity	6
GO:0008933	MF	lytic transglycosylase activity	5
GO:0008934	MF	inositol monophosphate 1-phosphatase activity	9
GO:0008935	MF	1,4-dihydroxy-2-naphthoyl-CoA synthase activity	6
GO:0008936	MF	nicotinamidase activity	6
GO:0008937	MF	ferredoxin-NAD(P) reductase activity	6
GO:0008938	MF	nicotinate N-methyltransferase activity	7
GO:0008939	MF	nicotinate-nucleotide-dimethylbenzimidazole phosphoribosyltransferase activity	6
GO:0008940	MF	nitrate reductase activity	5
GO:0008941	MF	nitric oxide dioxygenase activity	6
GO:0008942	MF	nitrite reductase [NAD(P)H] activity	6
GO:0008946	MF	oligonucleotidase activity	6
GO:0008948	MF	oxaloacetate decarboxylase activity	6
GO:0008949	MF	oxalyl-CoA decarboxylase activity	6
GO:0008951	MF	palmitoleoyl [acyl-carrier-protein]-dependent acyltransferase activity	6
GO:0008953	MF	penicillin amidase activity	6
GO:0008955	MF	peptidoglycan glycosyltransferase activity	6
GO:0008957	MF	phenylacetaldehyde dehydrogenase activity	7
GO:0008959	MF	phosphate acetyltransferase activity	7
GO:0008960	MF	phosphatidylglycerol-membrane-oligosaccharide glycerophosphotransferase activity	6
GO:0008961	MF	phosphatidylglycerol-prolipoprotein diacylglyceryl transferase activity	5
GO:0008962	MF	phosphatidylglycerophosphatase activity	7
GO:0008963	MF	phospho-N-acetylmuramoyl-pentapeptide-transferase activity	6
GO:0008964	MF	phosphoenolpyruvate carboxylase activity	7
GO:0008965	MF	phosphoenolpyruvate-protein phosphotransferase activity	6
GO:0008966	MF	phosphoglucosamine mutase activity	6
GO:0008967	MF	phosphoglycolate phosphatase activity	7
GO:0008968	MF	D-sedoheptulose 7-phosphate isomerase activity	6
GO:0008969	MF	phosphohistidine phosphatase activity	7
GO:0008970	MF	phosphatidylcholine 1-acylhydrolase activity	6
GO:0008972	MF	phosphomethylpyrimidine kinase activity	6
GO:0008973	MF	phosphopentomutase activity	6
GO:0008974	MF	phosphoribulokinase activity	6
GO:0008976	MF	polyphosphate kinase activity	6
GO:0008977	MF	prephenate dehydrogenase activity	6
GO:0008979	MF	prophage integrase activity	4
GO:0008980	MF	propionate kinase activity	6
GO:0008982	MF	protein-N(PI)-phosphohistidine-sugar phosphotransferase activity	5
GO:0008983	MF	protein-glutamate O-methyltransferase activity	7
GO:0008984	MF	protein-glutamate methylesterase activity	7
GO:0008986	MF	pyruvate, water dikinase activity	6
GO:0008987	MF	quinolinate synthetase A activity	3
GO:0008988	MF	rRNA (adenine-N6-)-methyltransferase activity	7
GO:0008989	MF	rRNA (guanine-N1-)-methyltransferase activity	7
GO:0008990	MF	rRNA (guanine-N2-)-methyltransferase activity	7
GO:0008993	MF	rhamnulokinase activity	6
GO:0008994	MF	rhamnulose-1-phosphate aldolase activity	6
GO:0008995	MF	ribonuclease E activity	7
GO:0008996	MF	ribonuclease G activity	7
GO:0008997	MF	ribonuclease R activity	7
GO:0008998	MF	ribonucleoside-triphosphate reductase activity	6
GO:0008999	MF	ribosomal-protein-alanine N-acetyltransferase activity	10
GO:0009000	MF	selenocysteine lyase activity	5
GO:0009001	MF	serine O-acetyltransferase activity	8
GO:0009002	MF	serine-type D-Ala-D-Ala carboxypeptidase activity	8
GO:0009007	MF	site-specific DNA-methyltransferase (adenine-specific) activity	7
GO:0009008	MF	DNA-methyltransferase activity	6
GO:0009009	MF	site-specific recombinase activity	3
GO:0009010	MF	sorbitol-6-phosphate 2-dehydrogenase activity	6
GO:0009011	MF	starch synthase activity	7
GO:0009012	MF	aminoglycoside 3''-adenylyltransferase activity	7
GO:0009013	MF	succinate-semialdehyde dehydrogenase [NAD(P)+] activity	6
GO:0009014	MF	succinyl-diaminopimelate desuccinylase activity	6
GO:0009015	MF	N-succinylarginine dihydrolase activity	6
GO:0009016	MF	succinyldiaminopimelate transaminase activity	6
GO:0009017	MF	succinylglutamate desuccinylase activity	6
GO:0009018	MF	sucrose phosphorylase activity	7
GO:0009019	MF	tRNA (guanine-N1-)-methyltransferase activity	8
GO:0009020	MF	tRNA (guanosine-2'-O-)-methyltransferase activity	8
GO:0009021	MF	tRNA (uracil-5-)-methyltransferase activity	7
GO:0009022	MF	tRNA nucleotidyltransferase activity	6
GO:0009024	MF	tagatose-6-phosphate kinase activity	6
GO:0009025	MF	tagatose-bisphosphate aldolase activity	6
GO:0009026	MF	tagaturonate reductase activity	6
GO:0009027	MF	tartrate dehydrogenase activity	6
GO:0009028	MF	tartronate-semialdehyde synthase activity	6
GO:0009029	MF	tetraacyldisaccharide 4'-kinase activity	6
GO:0009030	MF	thiamine-phosphate kinase activity	6
GO:0009032	MF	thymidine phosphorylase activity	6
GO:0009033	MF	trimethylamine-N-oxide reductase activity	6
GO:0009034	MF	tryptophanase activity	5
GO:0009035	MF	Type I site-specific deoxyribonuclease activity	9
GO:0009036	MF	Type II site-specific deoxyribonuclease activity	9
GO:0009037	MF	tyrosine-based site-specific recombinase activity	4
GO:0009038	MF	undecaprenol kinase activity	6
GO:0009039	MF	urease activity	6
GO:0009040	MF	ureidoglycolate dehydrogenase activity	6
GO:0009041	MF	uridylate kinase activity	6
GO:0009042	MF	valine-pyruvate transaminase activity	6
GO:0009044	MF	xylan 1,4-beta-xylosidase activity	6
GO:0009045	MF	xylose isomerase activity	6
GO:0009046	MF	zinc D-Ala-D-Ala carboxypeptidase activity	9
GO:0009047	BP	dosage compensation by hyperactivation of X chromosome	8
GO:0009048	BP	dosage compensation by inactivation of X chromosome	8
GO:0009050	BP	glycopeptide catabolic process	6
GO:0009051	BP	pentose-phosphate shunt, oxidative branch	6
GO:0009052	BP	pentose-phosphate shunt, non-oxidative branch	6
GO:0009055	MF	electron carrier activity	2
GO:0009056	BP	catabolic process	3
GO:0009057	BP	macromolecule catabolic process	4
GO:0009058	BP	biosynthetic process	3
GO:0009059	BP	macromolecule biosynthetic process	4
GO:0009060	BP	aerobic respiration	6
GO:0009061	BP	anaerobic respiration	6
GO:0009062	BP	fatty acid catabolic process	6
GO:0009063	BP	cellular amino acid catabolic process	5
GO:0009064	BP	glutamine family amino acid metabolic process	5
GO:0009065	BP	glutamine family amino acid catabolic process	6
GO:0009066	BP	aspartate family amino acid metabolic process	5
GO:0009067	BP	aspartate family amino acid biosynthetic process	6
GO:0009068	BP	aspartate family amino acid catabolic process	6
GO:0009069	BP	serine family amino acid metabolic process	5
GO:0009070	BP	serine family amino acid biosynthetic process	6
GO:0009071	BP	serine family amino acid catabolic process	6
GO:0009072	BP	aromatic amino acid family metabolic process	5
GO:0009073	BP	aromatic amino acid family biosynthetic process	6
GO:0009074	BP	aromatic amino acid family catabolic process	6
GO:0009075	BP	histidine family amino acid metabolic process	5
GO:0009076	BP	histidine family amino acid biosynthetic process	6
GO:0009077	BP	histidine family amino acid catabolic process	6
GO:0009078	BP	pyruvate family amino acid metabolic process	5
GO:0009079	BP	pyruvate family amino acid biosynthetic process	6
GO:0009080	BP	pyruvate family amino acid catabolic process	6
GO:0009081	BP	branched chain family amino acid metabolic process	5
GO:0009082	BP	branched chain family amino acid biosynthetic process	6
GO:0009083	BP	branched chain family amino acid catabolic process	6
GO:0009084	BP	glutamine family amino acid biosynthetic process	6
GO:0009085	BP	lysine biosynthetic process	7
GO:0009086	BP	methionine biosynthetic process	7
GO:0009087	BP	methionine catabolic process	7
GO:0009088	BP	threonine biosynthetic process	7
GO:0009089	BP	lysine biosynthetic process via diaminopimelate	6
GO:0009090	BP	homoserine biosynthetic process	7
GO:0009091	BP	homoserine catabolic process	7
GO:0009092	BP	homoserine metabolic process	6
GO:0009093	BP	cysteine catabolic process	7
GO:0009094	BP	L-phenylalanine biosynthetic process	7
GO:0009095	BP	aromatic amino acid family biosynthetic process, prephenate pathway	7
GO:0009097	BP	isoleucine biosynthetic process	7
GO:0009098	BP	leucine biosynthetic process	7
GO:0009099	BP	valine biosynthetic process	7
GO:0009100	BP	glycoprotein metabolic process	5
GO:0009101	BP	glycoprotein biosynthetic process	6
GO:0009102	BP	biotin biosynthetic process	6
GO:0009103	BP	lipopolysaccharide biosynthetic process	5
GO:0009104	BP	lipopolysaccharide catabolic process	6
GO:0009106	BP	lipoate metabolic process	5
GO:0009107	BP	lipoate biosynthetic process	6
GO:0009108	BP	coenzyme biosynthetic process	6
GO:0009109	BP	coenzyme catabolic process	6
GO:0009110	BP	vitamin biosynthetic process	5
GO:0009111	BP	vitamin catabolic process	5
GO:0009112	BP	nucleobase metabolic process	5
GO:0009113	BP	purine base biosynthetic process	5
GO:0009114	BP	hypoxanthine catabolic process	8
GO:0009115	BP	xanthine catabolic process	8
GO:0009116	BP	nucleoside metabolic process	5
GO:0009117	BP	nucleotide metabolic process	6
GO:0009118	BP	regulation of nucleoside metabolic process	6
GO:0009119	BP	ribonucleoside metabolic process	6
GO:0009120	BP	deoxyribonucleoside metabolic process	6
GO:0009123	BP	nucleoside monophosphate metabolic process	7
GO:0009124	BP	nucleoside monophosphate biosynthetic process	7
GO:0009125	BP	nucleoside monophosphate catabolic process	7
GO:0009126	BP	purine nucleoside monophosphate metabolic process	7
GO:0009127	BP	purine nucleoside monophosphate biosynthetic process	8
GO:0009128	BP	purine nucleoside monophosphate catabolic process	8
GO:0009129	BP	pyrimidine nucleoside monophosphate metabolic process	7
GO:0009130	BP	pyrimidine nucleoside monophosphate biosynthetic process	8
GO:0009131	BP	pyrimidine nucleoside monophosphate catabolic process	8
GO:0009132	BP	nucleoside diphosphate metabolic process	7
GO:0009133	BP	nucleoside diphosphate biosynthetic process	7
GO:0009134	BP	nucleoside diphosphate catabolic process	7
GO:0009135	BP	purine nucleoside diphosphate metabolic process	7
GO:0009136	BP	purine nucleoside diphosphate biosynthetic process	8
GO:0009137	BP	purine nucleoside diphosphate catabolic process	8
GO:0009138	BP	pyrimidine nucleoside diphosphate metabolic process	7
GO:0009139	BP	pyrimidine nucleoside diphosphate biosynthetic process	8
GO:0009140	BP	pyrimidine nucleoside diphosphate catabolic process	8
GO:0009141	BP	nucleoside triphosphate metabolic process	7
GO:0009142	BP	nucleoside triphosphate biosynthetic process	7
GO:0009143	BP	nucleoside triphosphate catabolic process	7
GO:0009144	BP	purine nucleoside triphosphate metabolic process	7
GO:0009145	BP	purine nucleoside triphosphate biosynthetic process	8
GO:0009146	BP	purine nucleoside triphosphate catabolic process	8
GO:0009147	BP	pyrimidine nucleoside triphosphate metabolic process	7
GO:0009148	BP	pyrimidine nucleoside triphosphate biosynthetic process	8
GO:0009149	BP	pyrimidine nucleoside triphosphate catabolic process	8
GO:0009150	BP	purine ribonucleotide metabolic process	7
GO:0009151	BP	purine deoxyribonucleotide metabolic process	7
GO:0009152	BP	purine ribonucleotide biosynthetic process	8
GO:0009153	BP	purine deoxyribonucleotide biosynthetic process	8
GO:0009154	BP	purine ribonucleotide catabolic process	8
GO:0009155	BP	purine deoxyribonucleotide catabolic process	8
GO:0009156	BP	ribonucleoside monophosphate biosynthetic process	8
GO:0009157	BP	deoxyribonucleoside monophosphate biosynthetic process	8
GO:0009158	BP	ribonucleoside monophosphate catabolic process	8
GO:0009159	BP	deoxyribonucleoside monophosphate catabolic process	8
GO:0009161	BP	ribonucleoside monophosphate metabolic process	8
GO:0009162	BP	deoxyribonucleoside monophosphate metabolic process	8
GO:0009163	BP	nucleoside biosynthetic process	6
GO:0009164	BP	nucleoside catabolic process	6
GO:0009165	BP	nucleotide biosynthetic process	6
GO:0009166	BP	nucleotide catabolic process	6
GO:0009167	BP	purine ribonucleoside monophosphate metabolic process	8
GO:0009168	BP	purine ribonucleoside monophosphate biosynthetic process	9
GO:0009169	BP	purine ribonucleoside monophosphate catabolic process	9
GO:0009170	BP	purine deoxyribonucleoside monophosphate metabolic process	8
GO:0009171	BP	purine deoxyribonucleoside monophosphate biosynthetic process	9
GO:0009172	BP	purine deoxyribonucleoside monophosphate catabolic process	9
GO:0009173	BP	pyrimidine ribonucleoside monophosphate metabolic process	8
GO:0009174	BP	pyrimidine ribonucleoside monophosphate biosynthetic process	9
GO:0009175	BP	pyrimidine ribonucleoside monophosphate catabolic process	9
GO:0009176	BP	pyrimidine deoxyribonucleoside monophosphate metabolic process	8
GO:0009177	BP	pyrimidine deoxyribonucleoside monophosphate biosynthetic process	9
GO:0009178	BP	pyrimidine deoxyribonucleoside monophosphate catabolic process	9
GO:0009179	BP	purine ribonucleoside diphosphate metabolic process	8
GO:0009180	BP	purine ribonucleoside diphosphate biosynthetic process	9
GO:0009181	BP	purine ribonucleoside diphosphate catabolic process	9
GO:0009182	BP	purine deoxyribonucleoside diphosphate metabolic process	8
GO:0009183	BP	purine deoxyribonucleoside diphosphate biosynthetic process	9
GO:0009184	BP	purine deoxyribonucleoside diphosphate catabolic process	9
GO:0009185	BP	ribonucleoside diphosphate metabolic process	8
GO:0009186	BP	deoxyribonucleoside diphosphate metabolic process	8
GO:0009187	BP	cyclic nucleotide metabolic process	8
GO:0009188	BP	ribonucleoside diphosphate biosynthetic process	8
GO:0009189	BP	deoxyribonucleoside diphosphate biosynthetic process	8
GO:0009190	BP	cyclic nucleotide biosynthetic process	8
GO:0009191	BP	ribonucleoside diphosphate catabolic process	8
GO:0009192	BP	deoxyribonucleoside diphosphate catabolic process	8
GO:0009193	BP	pyrimidine ribonucleoside diphosphate metabolic process	8
GO:0009194	BP	pyrimidine ribonucleoside diphosphate biosynthetic process	9
GO:0009195	BP	pyrimidine ribonucleoside diphosphate catabolic process	9
GO:0009196	BP	pyrimidine deoxyribonucleoside diphosphate metabolic process	8
GO:0009197	BP	pyrimidine deoxyribonucleoside diphosphate biosynthetic process	9
GO:0009198	BP	pyrimidine deoxyribonucleoside diphosphate catabolic process	9
GO:0009199	BP	ribonucleoside triphosphate metabolic process	8
GO:0009200	BP	deoxyribonucleoside triphosphate metabolic process	8
GO:0009201	BP	ribonucleoside triphosphate biosynthetic process	8
GO:0009202	BP	deoxyribonucleoside triphosphate biosynthetic process	8
GO:0009203	BP	ribonucleoside triphosphate catabolic process	8
GO:0009204	BP	deoxyribonucleoside triphosphate catabolic process	8
GO:0009205	BP	purine ribonucleoside triphosphate metabolic process	8
GO:0009206	BP	purine ribonucleoside triphosphate biosynthetic process	9
GO:0009207	BP	purine ribonucleoside triphosphate catabolic process	9
GO:0009208	BP	pyrimidine ribonucleoside triphosphate metabolic process	8
GO:0009209	BP	pyrimidine ribonucleoside triphosphate biosynthetic process	9
GO:0009210	BP	pyrimidine ribonucleoside triphosphate catabolic process	9
GO:0009211	BP	pyrimidine deoxyribonucleoside triphosphate metabolic process	8
GO:0009212	BP	pyrimidine deoxyribonucleoside triphosphate biosynthetic process	9
GO:0009213	BP	pyrimidine deoxyribonucleoside triphosphate catabolic process	9
GO:0009214	BP	cyclic nucleotide catabolic process	8
GO:0009215	BP	purine deoxyribonucleoside triphosphate metabolic process	8
GO:0009216	BP	purine deoxyribonucleoside triphosphate biosynthetic process	9
GO:0009217	BP	purine deoxyribonucleoside triphosphate catabolic process	9
GO:0009218	BP	pyrimidine ribonucleotide metabolic process	7
GO:0009219	BP	pyrimidine deoxyribonucleotide metabolic process	7
GO:0009220	BP	pyrimidine ribonucleotide biosynthetic process	8
GO:0009221	BP	pyrimidine deoxyribonucleotide biosynthetic process	8
GO:0009222	BP	pyrimidine ribonucleotide catabolic process	8
GO:0009223	BP	pyrimidine deoxyribonucleotide catabolic process	8
GO:0009224	BP	CMP biosynthetic process	9
GO:0009225	BP	nucleotide-sugar metabolic process	5
GO:0009226	BP	nucleotide-sugar biosynthetic process	5
GO:0009227	BP	nucleotide-sugar catabolic process	5
GO:0009228	BP	thiamine biosynthetic process	6
GO:0009229	BP	thiamine diphosphate biosynthetic process	6
GO:0009230	BP	thiamine catabolic process	6
GO:0009231	BP	riboflavin biosynthetic process	7
GO:0009232	BP	riboflavin catabolic process	7
GO:0009233	BP	menaquinone metabolic process	6
GO:0009234	BP	menaquinone biosynthetic process	7
GO:0009235	BP	cobalamin metabolic process	6
GO:0009236	BP	cobalamin biosynthetic process	7
GO:0009237	BP	siderophore metabolic process	5
GO:0009238	BP	enterobactin metabolic process	5
GO:0009239	BP	enterobactin biosynthetic process	6
GO:0009240	BP	isopentenyl diphosphate biosynthetic process	6
GO:0009242	BP	colanic acid biosynthetic process	7
GO:0009243	BP	O antigen biosynthetic process	6
GO:0009244	BP	lipopolysaccharide core region biosynthetic process	6
GO:0009245	BP	lipid A biosynthetic process	6
GO:0009246	BP	enterobacterial common antigen biosynthetic process	7
GO:0009247	BP	glycolipid biosynthetic process	6
GO:0009248	BP	K antigen biosynthetic process	7
GO:0009249	BP	protein lipoylation	7
GO:0009250	BP	glucan biosynthetic process	7
GO:0009251	BP	glucan catabolic process	6
GO:0009252	BP	peptidoglycan biosynthetic process	6
GO:0009253	BP	peptidoglycan catabolic process	8
GO:0009254	BP	peptidoglycan turnover	8
GO:0009255	BP	Entner-Doudoroff pathway	4
GO:0009256	BP	10-formyltetrahydrofolate metabolic process	7
GO:0009257	BP	10-formyltetrahydrofolate biosynthetic process	8
